"Label (Grouping)","Total:","Total:!!Owner occupied","Total:!!Renter occupied"
"Madera County, California","","",""
"    Estimate","44,048","28,092","15,956"
"Marin County, California","","",""
"    Estimate","103,378","66,223","37,155"
"Mendocino County, California","","",""
"    Estimate","34,273","19,905","14,368"
"Merced County, California","","",""
"    Estimate","84,967","43,293","41,674"
"Monterey County, California","","",""
"    Estimate","133,224","67,750","65,474"
"Napa County, California","","",""
"    Estimate","49,979","34,048","15,931"
"Nevada County, California","","",""
"    Estimate","42,679","31,748","10,931"
"Orange County, California","","",""
"    Estimate","1,077,193","608,989","468,204"
"Placer County, California","","",""
"    Estimate","155,945","115,440","40,505"
"Riverside County, California","","",""
"    Estimate","765,673","522,043","243,630"
"Sacramento County, California","","",""
"    Estimate","571,949","333,692","238,257"
"San Benito County, California","","",""
"    Estimate","20,307","14,123","6,184"
"San Bernardino County, California","","",""
"    Estimate","675,929","417,986","257,943"
"San Diego County, California","","",""
"    Estimate","1,162,896","631,760","531,136"
"San Francisco County, California","","",""
"    Estimate","350,796","140,809","209,987"
"San Joaquin County, California","","",""
"    Estimate","241,760","148,219","93,541"
"San Luis Obispo County, California","","",""
"    Estimate","107,571","68,096","39,475"
"San Mateo County, California","","",""
"    Estimate","264,135","155,833","108,302"
"Santa Barbara County, California","","",""
"    Estimate","150,550","78,081","72,469"
"Santa Clara County, California","","",""
"    Estimate","650,593","363,324","287,269"
"Santa Cruz County, California","","",""
"    Estimate","97,353","58,798","38,555"
"Shasta County, California","","",""
"    Estimate","71,506","43,537","27,969"
"Solano County, California","","",""
"    Estimate","157,617","97,758","59,859"
"Sonoma County, California","","",""
"    Estimate","190,586","119,657","70,929"
"Stanislaus County, California","","",""
"    Estimate","174,209","107,260","66,949"
"Sutter County, California","","",""
"    Estimate","33,655","19,232","14,423"
"Tehama County, California","","",""
"    Estimate","23,950","15,976","7,974"
"Tulare County, California","","",""
"    Estimate","143,541","82,233","61,308"
"Ventura County, California","","",""
"    Estimate","279,168","181,977","97,191"
"Yolo County, California","","",""
"    Estimate","76,844","41,470","35,374"
"Yuba County, California","","",""
"    Estimate","27,942","16,321","11,621"
"Adams County, Colorado","","",""
"    Estimate","183,023","130,145","52,878"
"Arapahoe County, Colorado","","",""
"    Estimate","250,041","163,723","86,318"
"Boulder County, Colorado","","",""
"    Estimate","135,607","83,642","51,965"
"Broomfield County, Colorado","","",""
"    Estimate","30,161","20,238","9,923"
"Denver County, Colorado","","",""
"    Estimate","326,634","164,429","162,205"
"Douglas County, Colorado","","",""
"    Estimate","136,238","107,716","28,522"
"El Paso County, Colorado","","",""
"    Estimate","282,904","189,922","92,982"
"Jefferson County, Colorado","","",""
"    Estimate","239,823","169,349","70,474"
"Larimer County, Colorado","","",""
"    Estimate","152,123","97,523","54,600"
"Mesa County, Colorado","","",""
"    Estimate","63,796","45,916","17,880"
"Pueblo County, Colorado","","",""
"    Estimate","69,078","47,161","21,917"
"Weld County, Colorado","","",""
"    Estimate","119,502","89,469","30,033"
"Fairfield County, Connecticut","","",""
"    Estimate","357,271","238,964","118,307"
"Hartford County, Connecticut","","",""
"    Estimate","360,140","238,473","121,667"
"Litchfield County, Connecticut","","",""
"    Estimate","77,106","60,113","16,993"
"Middlesex County, Connecticut","","",""
"    Estimate","69,789","52,831","16,958"
"New Haven County, Connecticut","","",""
"    Estimate","349,089","215,036","134,053"
"New London County, Connecticut","","",""
"    Estimate","110,950","74,403","36,547"
"Tolland County, Connecticut","","",""
"    Estimate","58,244","40,048","18,196"
"Windham County, Connecticut","","",""
"    Estimate","45,724","31,648","14,076"
"Kent County, Delaware","","",""
"    Estimate","70,167","50,901","19,266"
"New Castle County, Delaware","","",""
"    Estimate","220,758","150,516","70,242"
"Sussex County, Delaware","","",""
"    Estimate","104,731","85,694","19,037"
"District of Columbia, District of Columbia","","",""
"    Estimate","319,565","132,936","186,629"
"Alachua County, Florida","","",""
"    Estimate","108,189","61,131","47,058"
"Bay County, Florida","","",""
"    Estimate","79,532","50,383","29,149"
"Brevard County, Florida","","",""
"    Estimate","254,314","195,481","58,833"
"Broward County, Florida","","",""
"    Estimate","747,715","473,136","274,579"
"Charlotte County, Florida","","",""
"    Estimate","88,988","73,636","15,352"
"Citrus County, Florida","","",""
"    Estimate","68,269","57,340","10,929"
"Clay County, Florida","","",""
"    Estimate","80,459","60,907","19,552"
"Collier County, Florida","","",""
"    Estimate","163,943","119,565","44,378"
"Columbia County, Florida","","",""
"    Estimate","27,545","19,617","7,928"
"Duval County, Florida","","",""
"    Estimate","406,301","239,816","166,485"
"Escambia County, Florida","","",""
"    Estimate","126,980","79,892","47,088"
"Flagler County, Florida","","",""
"    Estimate","48,187","40,651","7,536"
"Hernando County, Florida","","",""
"    Estimate","81,497","66,668","14,829"
"Highlands County, Florida","","",""
"    Estimate","46,166","36,400","9,766"
"Hillsborough County, Florida","","",""
"    Estimate","578,259","352,142","226,117"
"Indian River County, Florida","","",""
"    Estimate","69,974","54,992","14,982"
"Lake County, Florida","","",""
"    Estimate","156,435","121,624","34,811"
"Lee County, Florida","","",""
"    Estimate","320,466","235,456","85,010"
"Leon County, Florida","","",""
"    Estimate","121,423","65,824","55,599"
"Manatee County, Florida","","",""
"    Estimate","163,520","124,817","38,703"
"Marion County, Florida","","",""
"    Estimate","157,348","123,527","33,821"
"Martin County, Florida","","",""
"    Estimate","69,719","55,458","14,261"
"Miami-Dade County, Florida","","",""
"    Estimate","963,477","505,982","457,495"
"Monroe County, Florida","","",""
"    Estimate","36,078","21,777","14,301"
"Nassau County, Florida","","",""
"    Estimate","40,276","32,016","8,260"
"Okaloosa County, Florida","","",""
"    Estimate","84,497","55,920","28,577"
"Orange County, Florida","","",""
"    Estimate","512,496","291,340","221,156"
"Osceola County, Florida","","",""
"    Estimate","133,330","87,322","46,008"
"Palm Beach County, Florida","","",""
"    Estimate","595,447","419,136","176,311"
"Pasco County, Florida","","",""
"    Estimate","230,060","173,201","56,859"
"Pinellas County, Florida","","",""
"    Estimate","419,798","295,669","124,129"
"Polk County, Florida","","",""
"    Estimate","276,469","191,631","84,838"
"Putnam County, Florida","","",""
"    Estimate","29,765","21,347","8,418"
"St. Johns County, Florida","","",""
"    Estimate","109,147","87,524","21,623"
"St. Lucie County, Florida","","",""
"    Estimate","131,235","102,937","28,298"
"Santa Rosa County, Florida","","",""
"    Estimate","71,722","57,961","13,761"
"Sarasota County, Florida","","",""
"    Estimate","204,018","153,747","50,271"
"Seminole County, Florida","","",""
"    Estimate","188,239","126,466","61,773"
"Sumter County, Florida","","",""
"    Estimate","68,792","61,292","7,500"
"Volusia County, Florida","","",""
"    Estimate","243,344","178,724","64,620"
"Walton County, Florida","","",""
"    Estimate","33,941","26,271","7,670"
"Barrow County, Georgia","","",""
"    Estimate","30,194","23,768","6,426"
"Bartow County, Georgia","","",""
"    Estimate","38,903","31,967","6,936"
"Bibb County, Georgia","","",""
"    Estimate","57,677","32,179","25,498"
"Bulloch County, Georgia","","",""
"    Estimate","29,318","15,417","13,901"
"Carroll County, Georgia","","",""
"    Estimate","43,859","30,611","13,248"
"Catoosa County, Georgia","","",""
"    Estimate","26,864","19,400","7,464"
"Chatham County, Georgia","","",""
"    Estimate","121,028","70,932","50,096"
"Cherokee County, Georgia","","",""
"    Estimate","100,023","79,845","20,178"
"Clarke County, Georgia","","",""
"    Estimate","55,332","22,131","33,201"
"Clayton County, Georgia","","",""
"    Estimate","106,249","60,618","45,631"
"Cobb County, Georgia","","",""
"    Estimate","292,841","196,039","96,802"
"Columbia County, Georgia","","",""
"    Estimate","51,178","41,397","9,781"
"Coweta County, Georgia","","",""
"    Estimate","55,729","44,272","11,457"
"DeKalb County, Georgia","","",""
"    Estimate","273,981","165,416","108,565"
"Dougherty County, Georgia","","",""
"    Estimate","34,835","16,307","18,528"
"Douglas County, Georgia","","",""
"    Estimate","51,441","33,651","17,790"
"Effingham County, Georgia","","",""
"    Estimate","23,373","17,379","5,994"
"Fayette County, Georgia","","",""
"    Estimate","43,689","35,244","8,445"
"Floyd County, Georgia","","",""
"    Estimate","35,417","22,361","13,056"
"Forsyth County, Georgia","","",""
"    Estimate","86,475","73,257","13,218"
"Fulton County, Georgia","","",""
"    Estimate","467,735","256,116","211,619"
"Glynn County, Georgia","","",""
"    Estimate","34,137","20,853","13,284"
"Gwinnett County, Georgia","","",""
"    Estimate","323,014","217,632","105,382"
"Hall County, Georgia","","",""
"    Estimate","72,454","49,759","22,695"
"Henry County, Georgia","","",""
"    Estimate","84,978","64,908","20,070"
"Houston County, Georgia","","",""
"    Estimate","60,815","38,706","22,109"
"Jackson County, Georgia","","",""
"    Estimate","25,272","19,241","6,031"
"Liberty County, Georgia","","",""
"    Estimate","23,883","9,274","14,609"
"Lowndes County, Georgia","","",""
"    Estimate","45,139","23,937","21,202"
"Muscogee County, Georgia","","",""
"    Estimate","82,663","39,383","43,280"
"Newton County, Georgia","","",""
"    Estimate","41,515","32,189","9,326"
"Paulding County, Georgia","","",""
"    Estimate","58,025","49,508","8,517"
"Richmond County, Georgia","","",""
"    Estimate","74,476","38,477","35,999"
"Rockdale County, Georgia","","",""
"    Estimate","33,141","22,585","10,556"
"Spalding County, Georgia","","",""
"    Estimate","25,696","15,677","10,019"
"Troup County, Georgia","","",""
"    Estimate","26,768","15,683","11,085"
"Walker County, Georgia","","",""
"    Estimate","26,315","19,985","6,330"
"Walton County, Georgia","","",""
"    Estimate","35,628","26,480","9,148"
"Whitfield County, Georgia","","",""
"    Estimate","35,746","23,502","12,244"
"Hawaii County, Hawaii","","",""
"    Estimate","72,194","52,962","19,232"
"Honolulu County, Hawaii","","",""
"    Estimate","338,093","200,544","137,549"
"Kauai County, Hawaii","","",""
"    Estimate","23,464","15,366","8,098"
"Maui County, Hawaii","","",""
"    Estimate","56,319","37,781","18,538"
"Ada County, Idaho","","",""
"    Estimate","196,255","138,362","57,893"
"Bannock County, Idaho","","",""
"    Estimate","33,557","23,119","10,438"
"Bonneville County, Idaho","","",""
"    Estimate","42,905","31,423","11,482"
"Canyon County, Idaho","","",""
"    Estimate","82,667","61,028","21,639"
"Kootenai County, Idaho","","",""
"    Estimate","67,771","49,929","17,842"
"Twin Falls County, Idaho","","",""
"    Estimate","34,311","22,990","11,321"
"Champaign County, Illinois","","",""
"    Estimate","84,248","45,400","38,848"
"Cook County, Illinois","","",""
"    Estimate","2,072,143","1,207,134","865,009"
"DeKalb County, Illinois","","",""
"    Estimate","38,916","23,959","14,957"
"DuPage County, Illinois","","",""
"    Estimate","350,639","257,254","93,385"
"Kane County, Illinois","","",""
"    Estimate","183,427","139,352","44,075"
"Kankakee County, Illinois","","",""
"    Estimate","41,020","29,570","11,450"
"Kendall County, Illinois","","",""
"    Estimate","44,208","37,739","6,469"
"Lake County, Illinois","","",""
"    Estimate","254,744","191,849","62,895"
"LaSalle County, Illinois","","",""
"    Estimate","44,972","31,836","13,136"
"McHenry County, Illinois","","",""
"    Estimate","116,768","97,505","19,263"
"McLean County, Illinois","","",""
"    Estimate","69,263","44,501","24,762"
"Macon County, Illinois","","",""
"    Estimate","43,914","30,258","13,656"
"Madison County, Illinois","","",""
"    Estimate","109,818","84,018","25,800"
"Peoria County, Illinois","","",""
"    Estimate","79,307","53,884","25,423"
"Rock Island County, Illinois","","",""
"    Estimate","60,187","42,053","18,134"
"St. Clair County, Illinois","","",""
"    Estimate","98,926","69,074","29,852"
"Sangamon County, Illinois","","",""
"    Estimate","84,414","60,539","23,875"
"Tazewell County, Illinois","","",""
"    Estimate","55,208","42,969","12,239"
"Vermilion County, Illinois","","",""
"    Estimate","29,007","20,151","8,856"
"Will County, Illinois","","",""
"    Estimate","242,530","202,283","40,247"
"Williamson County, Illinois","","",""
"    Estimate","27,361","19,752","7,609"
"Winnebago County, Illinois","","",""
"    Estimate","115,282","74,514","40,768"
"Allen County, Indiana","","",""
"    Estimate","154,866","107,992","46,874"
"Bartholomew County, Indiana","","",""
"    Estimate","32,518","23,227","9,291"
"Boone County, Indiana","","",""
"    Estimate","28,048","22,474","5,574"
"Clark County, Indiana","","",""
"    Estimate","50,153","36,706","13,447"
"Delaware County, Indiana","","",""
"    Estimate","45,977","30,498","15,479"
"Elkhart County, Indiana","","",""
"    Estimate","69,015","51,171","17,844"
"Floyd County, Indiana","","",""
"    Estimate","30,846","22,557","8,289"
"Grant County, Indiana","","",""
"    Estimate","26,342","19,044","7,298"
"Hamilton County, Indiana","","",""
"    Estimate","132,255","99,988","32,267"
"Hancock County, Indiana","","",""
"    Estimate","32,661","26,492","6,169"
"Hendricks County, Indiana","","",""
"    Estimate","65,751","52,560","13,191"
"Howard County, Indiana","","",""
"    Estimate","36,530","26,143","10,387"
"Johnson County, Indiana","","",""
"    Estimate","62,116","48,775","13,341"
"Kosciusko County, Indiana","","",""
"    Estimate","31,523","24,376","7,147"
"Lake County, Indiana","","",""
"    Estimate","192,256","135,670","56,586"
"LaPorte County, Indiana","","",""
"    Estimate","43,445","32,027","11,418"
"Madison County, Indiana","","",""
"    Estimate","53,910","37,786","16,124"
"Marion County, Indiana","","",""
"    Estimate","394,717","225,031","169,686"
"Monroe County, Indiana","","",""
"    Estimate","56,714","32,404","24,310"
"Morgan County, Indiana","","",""
"    Estimate","26,821","22,868","3,953"
"Porter County, Indiana","","",""
"    Estimate","68,266","53,024","15,242"
"St. Joseph County, Indiana","","",""
"    Estimate","107,076","74,799","32,277"
"Tippecanoe County, Indiana","","",""
"    Estimate","73,525","40,739","32,786"
"Vanderburgh County, Indiana","","",""
"    Estimate","79,215","51,029","28,186"
"Vigo County, Indiana","","",""
"    Estimate","42,140","26,071","16,069"
"Wayne County, Indiana","","",""
"    Estimate","26,452","18,181","8,271"
"Black Hawk County, Iowa","","",""
"    Estimate","53,951","35,794","18,157"
"Dallas County, Iowa","","",""
"    Estimate","41,681","28,102","13,579"
"Dubuque County, Iowa","","",""
"    Estimate","40,482","30,280","10,202"
"Johnson County, Iowa","","",""
"    Estimate","61,301","36,297","25,004"
"Linn County, Iowa","","",""
"    Estimate","94,884","71,234","23,650"
"Polk County, Iowa","","",""
"    Estimate","203,390","136,993","66,397"
"Pottawattamie County, Iowa","","",""
"    Estimate","37,930","26,243","11,687"
"Scott County, Iowa","","",""
"    Estimate","72,128","50,656","21,472"
"Story County, Iowa","","",""
"    Estimate","38,868","21,730","17,138"
"Woodbury County, Iowa","","",""
"    Estimate","41,327","29,559","11,768"
"Butler County, Kansas","","",""
"    Estimate","24,545","18,999","5,546"
"Douglas County, Kansas","","",""
"    Estimate","49,759","24,920","24,839"
"Johnson County, Kansas","","",""
"    Estimate","245,646","168,945","76,701"
"Leavenworth County, Kansas","","",""
"    Estimate","29,963","20,810","9,153"
"Riley County, Kansas","","",""
"    Estimate","27,866","13,794","14,072"
"Sedgwick County, Kansas","","",""
"    Estimate","203,656","128,309","75,347"
"Shawnee County, Kansas","","",""
"    Estimate","74,908","49,107","25,801"
"Wyandotte County, Kansas","","",""
"    Estimate","62,538","38,077","24,461"
"Boone County, Kentucky","","",""
"    Estimate","50,728","39,303","11,425"
"Bullitt County, Kentucky","","",""
"    Estimate","30,979","26,602","4,377"
"Campbell County, Kentucky","","",""
"    Estimate","39,048","27,890","11,158"
"Christian County, Kentucky","","",""
"    Estimate","25,317","11,641","13,676"
"Daviess County, Kentucky","","",""
"    Estimate","41,246","30,271","10,975"
"Fayette County, Kentucky","","",""
"    Estimate","139,303","75,129","64,174"
"Hardin County, Kentucky","","",""
"    Estimate","42,714","25,753","16,961"
"Jefferson County, Kentucky","","",""
"    Estimate","331,104","207,710","123,394"
"Kenton County, Kentucky","","",""
"    Estimate","68,073","49,561","18,512"
"McCracken County, Kentucky","","",""
"    Estimate","25,531","18,348","7,183"
"Madison County, Kentucky","","",""
"    Estimate","36,052","22,410","13,642"
"Oldham County, Kentucky","","",""
"    Estimate","22,895","19,506","3,389"
"Pulaski County, Kentucky","","",""
"    Estimate","25,509","19,177","6,332"
"Warren County, Kentucky","","",""
"    Estimate","53,093","29,633","23,460"
"Ascension Parish, Louisiana","","",""
"    Estimate","48,129","37,772","10,357"
"Bossier Parish, Louisiana","","",""
"    Estimate","49,418","31,204","18,214"
"Caddo Parish, Louisiana","","",""
"    Estimate","96,369","56,915","39,454"
"Calcasieu Parish, Louisiana","","",""
"    Estimate","71,511","53,676","17,835"
"East Baton Rouge Parish, Louisiana","","",""
"    Estimate","175,731","104,340","71,391"
"Iberia Parish, Louisiana","","",""
"    Estimate","25,440","17,658","7,782"
"Jefferson Parish, Louisiana","","",""
"    Estimate","179,775","114,392","65,383"
"Lafayette Parish, Louisiana","","",""
"    Estimate","97,877","65,228","32,649"
"Lafourche Parish, Louisiana","","",""
"    Estimate","38,111","29,918","8,193"
"Livingston Parish, Louisiana","","",""
"    Estimate","51,960","41,066","10,894"
"Orleans Parish, Louisiana","","",""
"    Estimate","158,827","83,516","75,311"
"Ouachita Parish, Louisiana","","",""
"    Estimate","61,594","37,070","24,524"
"Rapides Parish, Louisiana","","",""
"    Estimate","48,405","31,539","16,866"
"St. Landry Parish, Louisiana","","",""
"    Estimate","32,213","20,149","12,064"
"St. Tammany Parish, Louisiana","","",""
"    Estimate","103,543","82,595","20,948"
"Tangipahoa Parish, Louisiana","","",""
"    Estimate","49,915","35,476","14,439"
"Terrebonne Parish, Louisiana","","",""
"    Estimate","43,996","35,543","8,453"
"Androscoggin County, Maine","","",""
"    Estimate","46,323","32,207","14,116"
"Aroostook County, Maine","","",""
"    Estimate","30,220","21,878","8,342"
"Cumberland County, Maine","","",""
"    Estimate","129,977","91,742","38,235"
"Kennebec County, Maine","","",""
"    Estimate","53,803","40,095","13,708"
"Penobscot County, Maine","","",""
"    Estimate","65,441","45,777","19,664"
"York County, Maine","","",""
"    Estimate","90,907","70,708","20,199"
"Allegany County, Maryland","","",""
"    Estimate","28,535","18,523","10,012"
"Anne Arundel County, Maryland","","",""
"    Estimate","225,064","167,907","57,157"
"Baltimore County, Maryland","","",""
"    Estimate","332,529","221,944","110,585"
"Calvert County, Maryland","","",""
"    Estimate","33,994","29,469","4,525"
"Carroll County, Maryland","","",""
"    Estimate","64,161","54,677","9,484"
"Cecil County, Maryland","","",""
"    Estimate","41,000","32,006","8,994"
"Charles County, Maryland","","",""
"    Estimate","59,481","47,426","12,055"
"Frederick County, Maryland","","",""
"    Estimate","103,685","79,433","24,252"
"Harford County, Maryland","","",""
"    Estimate","101,196","80,967","20,229"
"Howard County, Maryland","","",""
"    Estimate","120,546","89,220","31,326"
"Montgomery County, Maryland","","",""
"    Estimate","388,396","255,211","133,185"
"Prince George's County, Maryland","","",""
"    Estimate","346,127","215,180","130,947"
"St. Mary's County, Maryland","","",""
"    Estimate","42,078","31,926","10,152"
"Washington County, Maryland","","",""
"    Estimate","60,215","38,275","21,940"
"Wicomico County, Maryland","","",""
"    Estimate","40,577","25,362","15,215"
"Baltimore city, Maryland","","",""
"    Estimate","254,370","123,249","131,121"
"Barnstable County, Massachusetts","","",""
"    Estimate","104,733","86,167","18,566"
"Berkshire County, Massachusetts","","",""
"    Estimate","57,765","40,501","17,264"
"Bristol County, Massachusetts","","",""
"    Estimate","233,531","144,141","89,390"
"Essex County, Massachusetts","","",""
"    Estimate","309,972","201,695","108,277"
"Franklin County, Massachusetts","","",""
"    Estimate","30,374","21,705","8,669"
"Hampden County, Massachusetts","","",""
"    Estimate","184,544","113,645","70,899"
"Hampshire County, Massachusetts","","",""
"    Estimate","60,870","41,492","19,378"
"Middlesex County, Massachusetts","","",""
"    Estimate","632,831","393,249","239,582"
"Norfolk County, Massachusetts","","",""
"    Estimate","280,067","191,602","88,465"
"Plymouth County, Massachusetts","","",""
"    Estimate","202,084","160,130","41,954"
"Suffolk County, Massachusetts","","",""
"    Estimate","315,257","114,409","200,848"
"Worcester County, Massachusetts","","",""
"    Estimate","333,435","223,389","110,046"
"Allegan County, Michigan","","",""
"    Estimate","44,479","39,160","5,319"
"Bay County, Michigan","","",""
"    Estimate","45,487","35,272","10,215"
"Berrien County, Michigan","","",""
"    Estimate","65,764","47,486","18,278"
"Calhoun County, Michigan","","",""
"    Estimate","53,482","39,159","14,323"
"Clinton County, Michigan","","",""
"    Estimate","30,952","25,203","5,749"
"Eaton County, Michigan","","",""
"    Estimate","45,137","33,086","12,051"
"Genesee County, Michigan","","",""
"    Estimate","167,895","118,767","49,128"
"Grand Traverse County, Michigan","","",""
"    Estimate","40,083","30,578","9,505"
"Ingham County, Michigan","","",""
"    Estimate","115,752","69,127","46,625"
"Ionia County, Michigan","","",""
"    Estimate","23,531","18,783","4,748"
"Jackson County, Michigan","","",""
"    Estimate","61,937","46,421","15,516"
"Kalamazoo County, Michigan","","",""
"    Estimate","105,642","67,161","38,481"
"Kent County, Michigan","","",""
"    Estimate","253,092","179,535","73,557"
"Lapeer County, Michigan","","",""
"    Estimate","34,447","29,413","5,034"
"Lenawee County, Michigan","","",""
"    Estimate","38,963","31,490","7,473"
"Livingston County, Michigan","","",""
"    Estimate","75,370","66,499","8,871"
"Macomb County, Michigan","","",""
"    Estimate","358,011","269,445","88,566"
"Marquette County, Michigan","","",""
"    Estimate","27,290","19,155","8,135"
"Midland County, Michigan","","",""
"    Estimate","35,453","26,716","8,737"
"Monroe County, Michigan","","",""
"    Estimate","61,574","50,129","11,445"
"Montcalm County, Michigan","","",""
"    Estimate","23,745","19,542","4,203"
"Muskegon County, Michigan","","",""
"    Estimate","67,707","50,901","16,806"
"Oakland County, Michigan","","",""
"    Estimate","530,383","387,843","142,540"
"Ottawa County, Michigan","","",""
"    Estimate","110,045","87,974","22,071"
"Saginaw County, Michigan","","",""
"    Estimate","80,146","57,491","22,655"
"St. Clair County, Michigan","","",""
"    Estimate","66,324","52,092","14,232"
"Shiawassee County, Michigan","","",""
"    Estimate","28,226","21,810","6,416"
"Van Buren County, Michigan","","",""
"    Estimate","28,457","22,964","5,493"
"Washtenaw County, Michigan","","",""
"    Estimate","149,133","90,429","58,704"
"Wayne County, Michigan","","",""
"    Estimate","695,038","451,506","243,532"
"Anoka County, Minnesota","","",""
"    Estimate","135,265","107,974","27,291"
"Blue Earth County, Minnesota","","",""
"    Estimate","27,604","17,955","9,649"
"Carver County, Minnesota","","",""
"    Estimate","40,141","32,729","7,412"
"Clay County, Minnesota","","",""
"    Estimate","26,236","18,007","8,229"
"Crow Wing County, Minnesota","","",""
"    Estimate","27,753","21,457","6,296"
"Dakota County, Minnesota","","",""
"    Estimate","170,696","131,678","39,018"
"Hennepin County, Minnesota","","",""
"    Estimate","532,149","340,705","191,444"
"Olmsted County, Minnesota","","",""
"    Estimate","65,122","46,141","18,981"
"Ramsey County, Minnesota","","",""
"    Estimate","218,817","135,410","83,407"
"Rice County, Minnesota","","",""
"    Estimate","23,779","18,605","5,174"
"St. Louis County, Minnesota","","",""
"    Estimate","85,576","62,227","23,349"
"Scott County, Minnesota","","",""
"    Estimate","55,327","45,118","10,209"
"Sherburne County, Minnesota","","",""
"    Estimate","34,738","30,046","4,692"
"Stearns County, Minnesota","","",""
"    Estimate","62,168","41,962","20,206"
"Washington County, Minnesota","","",""
"    Estimate","102,421","83,787","18,634"
"Wright County, Minnesota","","",""
"    Estimate","52,260","42,567","9,693"
"DeSoto County, Mississippi","","",""
"    Estimate","68,966","54,420","14,546"
"Forrest County, Mississippi","","",""
"    Estimate","30,600","16,237","14,363"
"Harrison County, Mississippi","","",""
"    Estimate","81,224","47,819","33,405"
"Hinds County, Mississippi","","",""
"    Estimate","91,067","50,684","40,383"
"Jackson County, Mississippi","","",""
"    Estimate","56,984","43,259","13,725"
"Jones County, Mississippi","","",""
"    Estimate","23,506","18,271","5,235"
"Lamar County, Mississippi","","",""
